"-149.868307	61.140133"
"-149.88113	61.192426"
"-149.898633	61.194753"
"-149.870565	61.188348"
"-149.863246	61.139884"
"-149.85796	61.108444"
"-149.832325	61.181208"
"-149.823633	61.219353"
"-149.775086	61.209365"
"-149.732706	61.221371"
"-149.979956	61.173019"
"-149.950832	61.137056"
"-149.936781	61.181524"
"-149.835088	61.138203"
"-149.732719	61.192846"
"-149.571145	61.327034"
"-147.759108	64.837296"
"-147.696614	64.859384"
"-147.820117	64.848734"
"-151.523064	59.642696"
"-151.235906	60.559838"
"-147.351417	64.758068"
"-149.123657	61.599019"
"-151.071002	60.48309"
"-149.364088	61.569269"
"-149.430898	61.581432"
"-86.96323	33.61071"
"-86.805218	33.228322"
"-86.81177	33.26258"
"-86.20708	34.2767"
"-85.95846	32.92119"
"-86.39416	34.11883"
"-86.51839	31.27594"
"-85.82663	33.66911"
"-85.81804	33.71946"
"-85.78884	33.6291"
"-86.50283	34.32584"
"-86.84025	34.99181"
"-85.82625	33.27559"
"-86.95088	34.80485"
"-86.93826	34.78282"
"-87.49385	31.00651"
"-86.07735	34.01812"
"-85.48354	32.60663"
"-85.5052	32.56097"
"-85.44573	32.62495"
"-87.78384	30.87913"
"-86.92224	33.33711"
"-86.9986	33.36264"
"-86.96937	33.39583"
"-86.603996	33.620972"
"-86.68185	33.41874"
"-86.69884	33.5886"
"-86.84708	33.50003"
"-86.8397	33.48048"
"-86.82769	33.54057"
"-86.81908	33.55394"
"-86.807791	33.504646"
"-86.80019	33.53363"
"-86.79087	33.49071"
"-86.78817	33.50977"
"-86.74863	33.54354"
"-86.68365	33.63668"
"-86.89285	33.56157"
"-86.87868	33.4953"
"-86.73994	33.38369"
"-86.7215	33.52553"
"-86.811501	33.52029"
"-86.69656	33.58819"
"-86.15069	34.19869"
"-87.07977	31.09949"
"-86.952764	33.42752"
"-86.74985	33.14685"
"-85.66817	34.16015"
"-87.14207	32.94485"
"-86.63385	33.34814"
"-86.35069	33.26488"
"-86.60887	32.81881"
"-86.57607	32.8011"
"-86.615891	33.179848"
"-87.44804	33.17606"
"-86.87543	34.20702"
"-86.83668	34.1629"
"-85.73031	32.82105"
"-85.71279	31.30934"
"-87.91231	30.6496"
"-87.901512	30.603901"
"-87.01302	34.57255"
"-86.98017	34.5892"
"-86.9087	34.5359"
"-87.83765	32.50487"
"-86.883972	34.041569"
"-87.065994	33.759327"
"-85.4002	31.22511"
"-85.39758	31.18968"
"-85.36078	31.21709"
"-85.42768	31.24592"
"-85.38914	31.25415"
"-86.90779	33.49959"
"-85.86459	31.33361"
"-85.86223	31.33399"
"-85.15626	31.87114"
"-86.897	31.4491"
"-87.8863	30.52552"
"-87.852127	30.523479"
"-86.894122	34.36811"
"-87.82667	33.70342"
"-87.69026	34.8485"
"-87.68051	34.81668"
"-87.63136	34.83678"
"-87.65596	34.82007"
"-87.68354	30.38288"
"-87.68345	30.39556"
"-85.73339	34.43265"
"-86.806039	33.608079"
"-86.02071	34.0218"
"-86.00417	33.99859"
"-86.82485	33.64791"
"-86.80991	33.65229"
"-85.89048	31.04801"
"-85.94155	33.96533"
"-88.335	30.499005"
"-87.59289	32.69857"
"-86.62656	31.84747"
"-87.68707	30.27394"
"-86.30841	34.34159"
"-87.62164	34.22679"
"-87.98852	34.14236"
"-86.77715	34.07177"
"-86.94225	34.4419"
"-86.57167	34.9329"
"-86.85214	33.28043"
"-86.82125	33.45143"
"-86.818177	33.46043"
"-86.735138	34.856041"
"-86.81104	33.37859"
"-86.80634	33.40702"
"-86.80488	33.37999"
"-86.99437	33.442429"
"-86.98547	33.45089"
"-86.6746	34.74357"
"-86.62762	34.73516"
"-86.590453	34.708824"
"-86.57852	34.79073"
"-86.57458	34.7195"
"-86.48648	34.8204"
"-86.59232	34.75792"
"-86.5684	34.69376"
"-86.56644	34.64399"
"-86.52631	34.77308"
"-86.69401	33.53329"
"-88.246094	30.428543"
"-87.88919	31.53514"
"-85.76141	33.81646"
"-87.25401	33.84472"
"-87.26926	33.8488"
"-86.74355	32.95955"
"-87.55506	34.85576"
"-86.52365	33.55922"
"-86.12521	33.58746"
"-87.76073	30.6421"
"-86.2665	31.7441"
"-86.74937	34.75208"
"-86.74903	34.67751"
"-86.99999	33.33018"
"-86.9219	33.45682"
"-86.37408	32.5179"
"-86.372022	32.519107"
"-88.224823	30.640946"
"-88.19085	30.66001"
"-88.17148	30.68937"
"-88.12365	30.68865"
"-88.12353	30.67623"
